carbon_diatom,carbon_dinoflagellate,month,minimum grazing rate,,
0.17,0.23,1,0.1,,
0.2,0.48,2,0.1,,
0.22,4.37,3,0.1,,
0.66,11.38,4,0.1,,
4.53,4.48,5,0.1,,
3.8,3.15,6,0.1,,
2.88,3.36,7,0.1,,
2.29,3.01,8,0.1,,
1.76,2.45,9,0.1,,
1.18,2.47,10,0.1,,
0.52,1.72,11,0.1,,
0.15,0.18,12,0.1,,
0.17,0.23,1,0.2,,
0.2,0.38,2,0.2,,
0.21,1.24,3,0.2,,
0.22,6.04,4,0.2,,
1.57,2.73,5,0.2,,
1.4,2.4,6,0.2,,
0.95,1.76,7,0.2,,
0.82,1.86,8,0.2,,
0.64,1.55,9,0.2,,
0.41,1.29,10,0.2,,
0.21,0.87,11,0.2,,
0.15,0.16,12,0.2,,
0.17,0.22,1,0.4,,
0.2,0.37,2,0.4,,
0.2,0.45,3,0.4,,
0.2,2.16,4,0.4,,
0.23,2.1,5,0.4,,
0.43,1.49,6,0.4,,
0.53,1.08,7,0.4,,
0.24,1.35,8,0.4,,
0.2,0.94,9,0.4,,
0.17,0.64,10,0.4,,
0.18,0.47,11,0.4,,
0.14,0.16,12,0.4,,
