carbon_diatom,carbon_dinoflagellate,month,latitude
0.19,0.22,1,10
0.2,0.48,2,10
0.21,3.77,3,10
0.29,9.57,4,10
2.87,4.24,5,10
2.25,2.65,6,10
1.84,2.54,7,10
1.3,2.63,8,10
1.26,2.03,9,10
0.99,2.01,10,10
0.92,2.23,11,10
0.19,0.2,12,10
0.19,0.23,1,30
0.2,0.46,2,30
0.21,3.63,3,30
0.38,9.05,4,30
3.01,3.5,5,30
2.44,3.03,6,30
1.94,2.65,7,30
1.62,2.36,8,30
1.06,1.93,9,30
0.89,1.84,10,30
0.78,2.12,11,30
0.17,0.18,12,30
0.17,0.23,1,50
0.2,0.43,2,50
0.21,3.44,3,50
0.36,9.85,4,50
3.24,3.8,5,50
2.99,2.9,6,50
2.19,2.92,7,50
1.83,2.53,8,50
1.39,2.02,9,50
0.9,2.15,10,50
0.36,1.43,11,50
0.15,0.17,12,50
0.14,0.22,1,60
0.17,0.4,2,60
0.21,3.23,3,60
0.43,10.83,4,60
3.99,4.71,5,60
4.05,2.73,6,60
3.07,3.18,7,60
1.81,2.62,8,60
1.18,2.4,9,60
0.84,2.89,10,60
0.24,0.96,11,60
0.11,0.16,12,60
