RING,LAT,LON,DATE_STR,TIME_STR,DATE_TIME,TRACKID,STAGE,SEX,ID
5143348,-54.00885,-38.04674,31/07/2004,11:50:00,31/07/2004 11:50,03015-7,Post-brood,F,1
5143349,-53.17241,-37.35815,31/07/2004,14:00:00,31/07/2004 14:00,03015-7,Post-brood,F,2
5143350,-52.56738,-36.91886,31/07/2004,15:00:00,31/07/2004 15:00,03015-7,Post-brood,F,3
5143351,-51.95474,-36.53064,31/07/2004,16:00:00,31/07/2004 16:00,03015-7,Post-brood,F,4
5143352,-51.59476,-36.57274,31/07/2004,17:00:00,31/07/2004 17:00,03015-7,Post-brood,F,5
5143353,-51.48207,-36.84886,31/07/2004,18:00:00,31/07/2004 18:00,03015-7,Post-brood,F,6
5143354,-51.25153,-37.36571,31/07/2004,19:00:00,31/07/2004 19:00,03015-7,Post-brood,F,7
5143355,-50.92283,-37.80828,31/07/2004,20:00:00,31/07/2004 20:00,03015-7,Post-brood,F,8
5143356,-50.11588,-38.15185,31/07/2004,22:00:00,31/07/2004 22:00,03015-7,Post-brood,F,9
5143357,-49.70153,-38.14269,31/07/2004,23:00:00,31/07/2004 23:00,03015-7,Post-brood,F,10
5143358,-49.2634,-37.96968,01/08/2004,0:00:00,01/08/2004 0:00,03015-7,Post-brood,F,11
5143359,-49.02102,-37.803,01/08/2004,1:00:00,01/08/2004 1:00,03015-7,Post-brood,F,12
5143360,-48.61187,-37.55493,01/08/2004,2:00:00,01/08/2004 2:00,03015-7,Post-brood,F,13
5143361,-48.15687,-37.20596,01/08/2004,3:00:00,01/08/2004 3:00,03015-7,Post-brood,F,14
5143362,-47.80923,-36.94549,01/08/2004,4:00:00,01/08/2004 4:00,03015-7,Post-brood,F,15
5143363,-47.42482,-36.67274,01/08/2004,5:00:00,01/08/2004 5:00,03015-7,Post-brood,F,16
5143364,-45.74975,-35.37157,01/08/2004,10:00:00,01/08/2004 10:00,03015-7,Post-brood,F,17
5143365,-45.4225,-35.13246,01/08/2004,11:00:00,01/08/2004 11:00,03015-7,Post-brood,F,18
5143366,-45.16543,-34.95821,01/08/2004,12:00:00,01/08/2004 12:00,03015-7,Post-brood,F,19
5143367,-44.9607,-34.76971,01/08/2004,14:00:00,01/08/2004 14:00,03015-7,Post-brood,F,20
5143368,-44.96891,-34.74552,01/08/2004,15:00:00,01/08/2004 15:00,03015-7,Post-brood,F,21
5143369,-44.98561,-34.68872,01/08/2004,17:00:00,01/08/2004 17:00,03015-7,Post-brood,F,22
5143370,-44.7748,-34.63371,01/08/2004,18:00:00,01/08/2004 18:00,03015-7,Post-brood,F,23
5143371,-44.42355,-34.58174,01/08/2004,19:00:00,01/08/2004 19:00,03015-7,Post-brood,F,24
5143372,-43.98257,-34.55843,01/08/2004,20:00:00,01/08/2004 20:00,03015-7,Post-brood,F,25
5143373,-43.97903,-34.55639,01/08/2004,21:00:00,01/08/2004 21:00,03015-7,Post-brood,F,26
5143374,-43.91164,-34.55442,01/08/2004,22:00:00,01/08/2004 22:00,03015-7,Post-brood,F,27
5143375,-43.51598,-34.65562,01/08/2004,23:00:00,01/08/2004 23:00,03015-7,Post-brood,F,28
5143376,-43.50698,-34.64033,02/08/2004,0:00:00,02/08/2004 0:00,03015-7,Post-brood,F,29
5143377,-43.32507,-34.69156,02/08/2004,1:00:00,02/08/2004 1:00,03015-7,Post-brood,F,30
5143378,-43.03166,-34.781,02/08/2004,2:00:00,02/08/2004 2:00,03015-7,Post-brood,F,31
5143379,-42.73357,-34.9209,02/08/2004,3:00:00,02/08/2004 3:00,03015-7,Post-brood,F,32
5143380,-42.55006,-34.99735,02/08/2004,5:00:00,02/08/2004 5:00,03015-7,Post-brood,F,33
5143381,-41.9502,-35.38192,02/08/2004,7:00:00,02/08/2004 7:00,03015-7,Post-brood,F,34
5143382,-41.24975,-35.73803,02/08/2004,9:00:00,02/08/2004 9:00,03015-7,Post-brood,F,35
5143383,-40.97161,-35.88604,02/08/2004,10:00:00,02/08/2004 10:00,03015-7,Post-brood,F,36
5143384,-40.35253,-36.30364,02/08/2004,13:00:00,02/08/2004 13:00,03015-7,Post-brood,F,37
5143385,-40.10131,-36.66392,02/08/2004,14:00:00,02/08/2004 14:00,03015-7,Post-brood,F,38
5143386,-40.03642,-36.69631,02/08/2004,15:00:00,02/08/2004 15:00,03015-7,Post-brood,F,39
5143387,-40.03636,-36.68691,02/08/2004,16:00:00,02/08/2004 16:00,03015-7,Post-brood,F,40
5143388,-40.03643,-36.67781,02/08/2004,17:00:00,02/08/2004 17:00,03015-7,Post-brood,F,41
5143389,-40.0361,-36.66902,02/08/2004,18:00:00,02/08/2004 18:00,03015-7,Post-brood,F,42
